iso_i,iso_n,country_i,country_n,date,dD_hat_c,dS_hat_c
KOR,DEU,southkorea,germany,161,0.81578052,0.94005275
KOR,GRC,southkorea,greece,161,0.94421277,1.0603157
KOR,IND,southkorea,india,161,1.080497,1.1538939
KOR,ITA,southkorea,italy,161,0.98813984,0.93679782
KOR,JPN,southkorea,japan,161,1.0028519,1.0805396
KOR,MEX,southkorea,mexico,161,0.95955327,1.0841528
KOR,POL,southkorea,poland,161,0.90957741,1.0364848
KOR,ROU,southkorea,romania,161,0.96318263,0.96191426
KOR,KOR,southkorea,southkorea,161,1,1
KOR,ESP,southkorea,spain,161,0.88283231,0.9861819
KOR,SWE,southkorea,sweden,161,0.88193688,1.1165043
KOR,GBR,southkorea,unitedkingdom,161,0.97725665,0.93184203
KOR,USA,southkorea,unitedstates,161,0.99083763,1.0361388
KOR,ROW,southkorea,zz_row,161,0.9381796,0.94475759
ESP,AUT,spain,austria,161,0.97089532,0.93776906
ESP,CAN,spain,canada,161,1.1759226,1.0948041
ESP,CZE,spain,czechrepublic,161,0.79566574,0.85928793
ESP,DNK,spain,denmark,161,1.013405,1.004819
ESP,FIN,spain,finland,161,1.1118394,1.0209065
ESP,DEU,spain,germany,161,0.96351107,0.97881834
ESP,GRC,spain,greece,161,0.94740456,0.95118147
ESP,IND,spain,india,161,0.96388466,0.9887877
ESP,ITA,spain,italy,161,0.957261,0.95352346
ESP,JPN,spain,japan,161,0.98994217,1.1246768
ESP,MEX,spain,mexico,161,1.1182545,1.0268775
ESP,POL,spain,poland,161,1.0143488,0.97340901
ESP,ROU,spain,romania,161,0.95682186,1.0250633
ESP,KOR,spain,southkorea,161,0.97125156,1.0201885
ESP,ESP,spain,spain,161,1,1
ESP,SWE,spain,sweden,161,0.96503985,1.0720416
ESP,GBR,spain,unitedkingdom,161,0.95757951,1.0010811
ESP,USA,spain,unitedstates,161,1.0781749,1.0670616
ESP,ROW,spain,zz_row,161,0.9758485,1.0010404
SWE,AUT,sweden,austria,161,1.2886878,1.0102194
SWE,CAN,sweden,canada,161,1.0997915,1.0522784
SWE,CZE,sweden,czechrepublic,161,1.0798456,0.90667721
SWE,DNK,sweden,denmark,161,0.94523084,0.9944588
SWE,FIN,sweden,finland,161,0.98743782,1.0305111
SWE,DEU,sweden,germany,161,0.93856229,1.0005956
SWE,GRC,sweden,greece,161,0.96698108,1.036646
SWE,IND,sweden,india,161,1.14947,1.1424679
SWE,ITA,sweden,italy,161,1.0306538,0.95135879
SWE,JPN,sweden,japan,161,1.0559844,1.041638
SWE,MEX,sweden,mexico,161,1.1381296,1.0169588
SWE,POL,sweden,poland,161,1.0398497,0.99996254
SWE,ROU,sweden,romania,161,0.98095042,1.0888018
SWE,KOR,sweden,southkorea,161,1.0795231,1.0485356
SWE,ESP,sweden,spain,161,0.99439644,0.93931634
SWE,SWE,sweden,sweden,161,1,1
SWE,GBR,sweden,unitedkingdom,161,0.98816079,0.98091729
SWE,USA,sweden,unitedstates,161,1.0855222,1.0374342
SWE,ROW,sweden,zz_row,161,0.99041292,1.0154234
GBR,AUT,unitedkingdom,austria,161,1.0509112,1.0094988
GBR,CAN,unitedkingdom,canada,161,0.88657001,1.0729481
GBR,CZE,unitedkingdom,czechrepublic,161,0.87353905,0.86631966
